x,y,z
0.40,1.60,1.34
0.41,1.13,1.94
0.34,0.61,2.23
0.20,0.56,2.35
-0.04,0.33,2.10
0.00,-0.26,2.06
-0.04,-0.34,2.04
-0.27,-0.65,1.95
-0.26,-0.99,1.72
-0.04,-0.72,1.61
-0.32,-0.91,1.71
-0.47,-1.21,1.78
-0.49,-1.13,1.54
-0.59,-1.00,1.18
-0.68,-1.03,0.99
-0.66,-0.89,0.72
-0.59,-0.72,0.47
-0.50,-0.58,0.21
-0.48,-0.53,0.10
-0.38,-0.42,0.00
-0.17,-0.13,-0.18
-0.04,0.29,-0.38
-0.01,0.33,-0.56
-0.02,0.22,-0.59
0.03,0.23,-0.56
-0.02,0.32,-0.01
-0.13,0.13,0.18
0.05,0.46,0.80
0.26,0.74,1.26
0.10,0.62,1.75
0.12,0.40,1.86
0.15,0.31,1.86
0.08,0.30,1.46
0.03,0.09,1.38
0.04,-0.02,1.42
0.18,0.26,1.65
0.10,0.15,1.57
0.02,-0.08,1.29
0.01,-0.13,1.16
0.04,-0.02,1.15
-0.05,0.06,1.71
-0.03,0.04,0.75
-0.10,-0.19,0.93
-0.06,-0.10,0.96
-0.03,-0.05,0.97
0.00,-0.01,0.92
0.00,0.04,0.90
-0.04,-0.01,0.91
-0.05,-0.05,0.96
-0.05,-0.02,0.95
-0.07,-0.02,0.96
-0.08,-0.08,0.96
-0.05,-0.04,0.97
-0.04,-0.01,0.96
-0.04,-0.02,0.97
-0.06,-0.06,0.96
-0.08,-0.07,0.98
-0.07,-0.09,1.02
-0.04,-0.09,0.96
-0.02,-0.02,0.93
0.03,0.06,0.92
0.02,-0.02,1.03
-0.02,-0.07,0.98
-0.04,-0.07,0.92
-0.01,-0.00,0.92
-0.00,-0.03,1.00
-0.03,-0.08,0.96
-0.01,-0.08,0.99
-0.03,-0.06,0.94
0.02,0.00,0.96
0.06,-0.01,1.00
-0.00,-0.08,0.96
0.01,-0.05,0.94
0.03,-0.05,0.98
-0.01,-0.07,0.96
0.02,-0.04,0.94
0.02,-0.06,0.94
0.03,-0.08,0.98
0.01,-0.09,0.97
0.03,-0.08,0.97
0.03,-0.08,0.96
0.02,-0.09,0.95
0.02,-0.08,0.95
0.04,-0.09,0.94
0.05,-0.09,0.96
0.06,-0.05,0.95
0.06,-0.06,0.96
0.03,-0.09,0.93
0.06,-0.11,0.97
0.06,-0.08,0.97
0.07,-0.08,0.96
0.07,-0.06,0.94
0.06,-0.08,0.95
0.07,-0.08,0.97
0.06,-0.03,0.97
0.07,-0.09,0.95
0.08,-0.09,0.96
0.08,-0.08,0.97
0.07,-0.08,0.95
0.08,-0.09,0.95
0.08,-0.10,0.94
0.08,-0.09,0.94
0.08,-0.09,0.94
0.08,-0.07,0.96
0.09,-0.07,0.96
0.07,-0.11,0.93
0.09,-0.10,0.94
0.11,-0.07,0.96
0.10,-0.07,0.97
0.09,-0.09,0.95
0.09,-0.08,0.95
0.09,-0.08,0.95
0.09,-0.08,0.95
0.09,-0.09,0.95
0.09,-0.09,0.97
0.09,-0.08,0.96
0.10,-0.06,0.95
0.09,-0.10,0.96
0.10,-0.09,0.97
0.10,-0.08,0.96
0.09,-0.08,0.96
0.09,-0.09,0.96
0.09,-0.08,0.95
0.10,-0.06,0.95
0.10,-0.08,0.96
0.10,-0.09,0.96
0.10,-0.08,0.95
0.10,-0.07,0.95
0.10,-0.07,0.94
0.09,-0.08,0.96
x,y,z
0.18,-0.13,0.89
0.17,-0.15,0.91
0.15,-0.23,0.95
0.16,-0.20,0.93
0.17,-0.19,0.91
0.20,-0.18,0.93
0.20,-0.15,0.93
0.19,-0.16,0.91
0.21,-0.16,0.92
0.22,-0.12,0.91
0.22,-0.13,0.91
0.22,-0.14,0.93
0.22,-0.14,0.94
0.23,-0.12,0.95
0.24,-0.10,0.94
0.24,-0.09,0.94
0.22,-0.11,0.90
0.21,-0.13,0.89
0.22,-0.12,0.89
0.21,-0.12,0.87
0.22,-0.14,0.89
0.24,-0.11,0.90
0.25,-0.09,0.91
0.26,-0.11,0.92
0.27,-0.10,0.93
0.28,-0.08,0.95
0.29,-0.10,0.98
0.33,-0.10,1.04
0.37,-0.02,1.06
0.35,-0.07,1.09
0.34,-0.17,1.08
0.37,-0.14,1.05
0.45,-0.04,1.00
0.58,-0.01,1.03
0.63,0.11,1.14
0.52,-0.05,1.21
0.47,-0.19,1.23
0.49,-0.25,1.24
0.37,-0.30,1.08
0.27,-0.31,1.03
0.29,-0.50,1.22
0.31,-0.67,1.19
0.30,-0.61,1.01
0.25,-0.55,0.87
0.13,-0.58,0.75
0.08,-0.74,0.70
-0.03,-0.75,0.55
-0.11,-0.71,0.46
-0.19,-0.70,0.33
-0.30,-0.62,0.16
-0.33,-0.54,0.06
-0.31,-0.23,0.02
-0.29,0.12,-0.04
-0.25,0.32,-0.07
-0.17,0.53,-0.20
-0.15,0.78,-0.01
0.04,1.02,0.41
0.21,1.22,0.78
0.36,1.18,1.42
0.39,1.21,1.52
0.43,1.17,1.67
0.41,0.80,1.77
0.22,0.66,1.59
0.06,0.46,1.62
0.08,0.31,1.69
0.03,0.13,1.64
-0.15,-0.10,1.76
-0.21,-0.66,1.64
-0.07,-0.63,1.50
0.08,-0.48,1.50
-0.13,-0.71,1.62
-0.32,-1.00,1.47
-0.32,-1.02,1.40
-0.24,-0.87,1.43
-0.29,-0.81,1.31
-0.30,-0.87,1.26
-0.30,-0.89,1.08
-0.36,-0.98,0.97
-0.27,-0.86,0.88
-0.18,-0.69,0.89
-0.19,-0.42,0.72
-0.19,-0.33,0.52
-0.16,-0.38,0.43
-0.08,-0.27,0.28
-0.06,-0.14,0.09
0.01,-0.11,-0.02
0.07,-0.14,-0.03
0.19,-0.00,-0.08
0.24,0.29,-0.26
0.23,0.21,-0.20
0.31,0.25,0.14
0.29,0.33,0.16
-0.01,-0.07,-0.21
0.22,0.57,0.09
0.46,0.87,0.80
0.24,0.63,0.82
-0.02,0.32,0.56
0.13,0.58,1.40
0.14,0.67,1.99
-0.04,0.24,1.65
0.10,0.27,1.70
0.23,0.47,1.80
0.15,0.40,1.60
0.03,0.11,1.32
0.09,0.12,1.26
0.07,0.21,1.25
-0.00,0.24,1.01
0.01,0.19,1.00
0.04,0.24,1.23
-0.07,0.22,0.73
-0.06,0.10,1.00
-0.06,0.09,0.84
-0.08,0.06,0.79
-0.06,0.08,0.82
-0.04,0.15,0.85
-0.16,0.07,1.65
-0.09,0.06,0.67
-0.10,0.03,0.90
-0.04,0.10,0.98
-0.08,0.09,0.95
-0.10,0.04,0.92
-0.11,-0.02,1.02
-0.09,0.02,0.92
-0.04,0.10,0.96
-0.05,0.07,0.95
-0.06,0.05,0.97
-0.05,0.04,0.95
-0.06,0.05,0.93
-0.06,0.05,0.96
-0.06,0.06,0.97
-0.06,0.06,0.95
-0.06,0.05,0.95
-0.05,0.04,0.97
-0.05,0.06,0.94
-0.05,0.09,0.96
-0.07,0.02,0.96
-0.07,0.03,0.95
-0.09,0.06,0.96
-0.09,0.03,0.98
-0.07,0.01,0.98
-0.02,0.07,0.95
-0.01,0.07,0.97
-0.03,0.02,1.00
-0.03,0.01,1.00
-0.02,0.05,0.98
-0.01,0.07,0.96
-0.03,0.01,0.94
-0.05,-0.03,0.94
-0.04,-0.00,0.92
-0.03,0.03,0.92
x,y,z
0.39,0.10,0.80
0.29,-0.12,0.77
0.26,-0.09,0.61
0.33,0.10,0.51
0.21,0.12,0.32
0.18,-0.06,0.42
0.28,-0.20,0.72
0.43,-0.18,0.90
0.44,-0.45,1.31
0.39,-0.69,1.67
0.46,-0.64,1.70
0.48,-0.58,1.51
0.25,-0.67,1.52
0.17,-0.85,1.57
0.06,-0.78,1.17
-0.14,-0.65,0.68
-0.25,-0.78,0.42
-0.24,-0.84,0.25
-0.40,-0.98,0.04
-0.59,-0.93,-0.09
-0.79,-0.44,-0.28
-0.84,-0.07,-0.37
-0.71,0.01,-0.20
-0.51,0.49,0.01
-0.41,0.92,0.08
-0.10,1.52,0.40
0.30,1.74,1.02
0.30,1.58,1.14
0.19,1.13,1.24
0.24,1.15,1.79
0.34,1.25,1.92
0.12,0.75,1.49
0.03,0.40,1.64
0.06,0.36,1.86
0.13,0.25,1.91
-0.11,-0.34,1.99
-0.22,-0.55,1.69
-0.00,-0.44,1.52
0.03,-0.49,1.56
-0.30,-1.04,1.63
-0.43,-1.16,1.63
-0.36,-0.88,1.56
-0.34,-0.89,1.46
-0.47,-0.92,1.30
-0.51,-0.95,1.06
-0.54,-0.89,0.78
-0.59,-0.80,0.56
-0.58,-0.72,0.39
-0.59,-0.61,0.23
-0.61,-0.45,-0.08
-0.46,-0.42,-0.16
-0.25,-0.24,-0.01
-0.09,0.25,-0.09
-0.11,0.39,-0.34
-0.08,0.35,-0.35
0.08,0.57,0.04
0.05,0.84,0.22
-0.05,0.35,0.34
0.13,0.53,1.24
0.14,0.78,1.40
0.13,0.75,1.56
-0.03,0.03,1.55
0.06,0.20,1.62
0.08,0.46,1.59
0.06,-0.04,1.65
0.09,-0.24,1.70
0.19,0.14,1.62
0.18,0.32,1.49
0.05,-0.07,1.18
-0.04,-0.35,1.05
0.01,-0.14,1.05
0.02,0.04,1.08
-0.06,-0.15,0.96
-0.03,-0.15,0.96
-0.03,-0.06,0.98
-0.09,-0.08,1.10
-0.11,-0.12,0.93
-0.12,-0.13,0.90
-0.07,-0.00,0.94
-0.07,-0.06,0.99
-0.14,-0.17,0.97
-0.14,-0.18,0.94
-0.09,-0.11,0.92
-0.07,-0.04,0.97
-0.10,-0.11,0.96
-0.11,-0.14,0.93
-0.09,-0.09,0.94
-0.07,-0.03,0.99
-0.08,-0.06,0.94
-0.08,-0.10,0.94
-0.08,-0.09,0.94
-0.09,-0.07,0.96
-0.09,-0.08,0.96
-0.09,-0.09,0.95
-0.06,-0.07,0.94
-0.03,-0.03,0.93
-0.04,-0.05,1.00
-0.07,-0.06,0.98
-0.06,-0.03,0.96
-0.04,0.00,0.97
-0.04,0.01,0.93
-0.03,-0.01,0.95
-0.06,-0.09,0.95
-0.07,-0.10,0.95
-0.03,-0.03,0.96
-0.01,-0.01,0.98
-0.01,-0.03,0.97
-0.02,-0.03,0.95
-0.02,-0.05,0.96
-0.02,-0.03,0.96
-0.03,-0.05,0.96
-0.04,-0.05,0.94
-0.02,-0.01,0.96
-0.02,-0.01,0.94
-0.01,-0.03,0.96
-0.01,-0.03,0.97
-0.00,0.00,0.96
-0.01,-0.01,0.97
-0.02,-0.06,0.98
0.01,-0.05,1.07
-0.01,0.01,0.92
0.00,0.03,0.83
0.00,-0.05,0.93
0.01,-0.05,0.98
0.01,-0.05,0.98
0.01,-0.02,0.97
0.02,-0.02,0.96
0.01,-0.04,0.95
0.01,-0.05,0.96
0.01,-0.05,0.96
0.02,-0.04,0.95
0.03,-0.03,0.97
0.03,-0.02,0.97
0.02,-0.05,0.98
0.03,-0.03,0.96
0.04,-0.06,0.95
0.03,-0.03,0.95
0.03,-0.02,0.94
0.04,-0.01,0.97
0.03,-0.03,0.96
0.05,-0.02,0.97
0.05,-0.03,0.97
0.03,-0.06,0.94
0.03,-0.07,0.94
0.05,-0.04,0.96
0.04,-0.04,0.97
0.05,-0.04,0.96
0.05,-0.03,0.93
0.04,-0.04,0.96
0.05,-0.05,0.97
x,y,z
0.59,0.09,1.00
0.63,0.07,0.98
0.71,0.12,1.00
0.74,0.06,1.06
0.72,-0.26,1.08
0.73,-0.36,1.13
0.82,-0.09,1.25
0.72,-0.36,1.36
0.55,-0.66,1.45
0.27,-0.92,1.29
0.15,-0.86,0.88
-0.10,-0.86,0.48
-0.38,-1.08,0.43
-0.44,-1.21,0.51
-0.54,-1.07,0.44
-0.64,-0.64,0.13
-0.69,-0.33,-0.09
-0.73,-0.10,-0.20
-0.68,0.15,-0.20
-0.49,0.72,-0.05
-0.24,1.30,-0.01
0.12,1.82,0.42
0.25,1.76,0.92
0.35,1.34,1.07
0.38,1.42,1.36
0.38,1.53,1.67
0.41,1.16,1.72
0.37,0.90,1.66
0.15,0.79,1.67
-0.01,0.26,1.53
-0.14,-0.32,1.80
-0.14,-0.35,1.89
0.04,-0.35,1.56
0.13,-0.47,1.50
-0.25,-0.88,1.63
-0.33,-1.09,1.79
-0.33,-0.97,1.69
-0.32,-0.79,1.63
-0.45,-0.86,1.50
-0.60,-0.99,1.29
-0.51,-0.89,1.06
-0.51,-0.94,0.92
-0.46,-0.84,0.75
-0.46,-0.72,0.50
-0.34,-0.66,0.39
-0.30,-0.55,0.30
-0.29,-0.38,0.21
-0.28,-0.34,0.08
-0.28,-0.25,-0.25
-0.31,-0.06,-0.75
-0.30,0.27,-0.79
-0.32,0.24,-0.45
-0.35,0.12,-0.24
-0.07,0.54,0.06
0.25,1.54,0.43
0.21,1.26,0.71
0.15,0.60,1.30
0.22,0.53,1.83
0.21,0.44,2.22
0.10,0.07,1.96
0.08,-0.12,1.72
0.14,0.16,1.61
0.13,0.09,1.62
0.06,-0.26,1.51
0.00,0.13,1.97
0.07,0.12,0.94
0.16,0.29,0.33
0.12,-0.31,0.85
0.13,0.00,0.77
0.06,0.05,0.73
0.02,0.02,0.79
0.03,-0.04,0.91
-0.01,-0.04,0.93
-0.00,-0.06,0.91
0.01,-0.04,1.00
0.03,-0.04,1.04
0.06,-0.06,1.40
-0.02,-0.04,0.85
-0.02,0.00,0.83
0.01,-0.05,0.87
0.00,-0.07,0.99
0.01,-0.11,1.06
0.03,-0.03,0.88
0.05,-0.06,0.99
0.05,-0.03,0.96
0.04,-0.07,0.98
0.03,-0.09,1.01
0.03,-0.06,0.95
0.05,-0.07,0.96
0.06,-0.04,0.96
0.05,-0.06,0.96
0.07,-0.03,0.96
0.11,0.03,0.93
0.12,0.00,0.93
0.11,-0.05,0.97
0.11,-0.06,0.95
0.13,-0.04,0.95
0.14,-0.01,0.92
0.14,-0.03,0.92
0.14,-0.06,0.97
0.16,-0.07,0.95
0.15,-0.08,0.91
0.12,-0.07,0.90
0.15,-0.02,0.96
0.15,-0.02,0.97
0.14,-0.04,0.96
0.14,-0.05,0.91
0.14,-0.05,0.92
0.17,-0.04,0.97
0.16,-0.04,0.96
0.16,-0.06,0.95
0.17,-0.07,0.94
0.16,-0.05,0.92
0.18,-0.02,0.95
0.18,-0.05,0.97
0.17,-0.08,0.97
0.17,-0.08,0.94
0.19,-0.04,0.96
0.21,-0.05,0.98
0.22,-0.04,1.00
0.20,-0.07,0.97
0.20,-0.06,0.92
0.24,-0.01,0.92
0.25,0.00,0.93
0.24,-0.01,0.90
0.29,0.03,0.91
0.28,0.03,0.88
0.28,0.05,0.91
0.26,0.05,0.91
0.25,0.04,0.91
0.25,0.01,0.92
0.24,-0.02,0.96
0.24,-0.00,0.94
0.22,-0.01,0.91
0.23,-0.03,0.90
0.24,-0.03,0.89
0.26,-0.02,0.88
0.26,-0.02,0.89
0.27,-0.03,0.88
0.26,-0.01,0.85
0.29,0.01,0.90
0.29,-0.01,0.92
0.28,-0.02,0.93
0.27,-0.04,0.92
0.25,-0.04,0.90
0.28,-0.02,0.94
0.27,-0.03,0.92
0.28,-0.02,0.92
0.27,-0.04,0.91
0.28,-0.04,0.90
x,y,z
0.68,0.08,0.95
0.70,0.17,0.89
0.72,0.20,0.89
0.75,0.21,0.89
0.76,0.06,0.87
0.78,-0.01,0.79
0.80,-0.02,0.87
0.81,-0.22,1.11
0.93,-0.42,1.35
0.98,-0.35,1.31
0.69,-0.35,1.14
0.41,-0.57,1.21
0.28,-0.73,1.18
0.04,-0.91,0.98
-0.16,-0.97,0.78
-0.27,-0.94,0.47
-0.47,-0.80,0.21
-0.56,-0.77,0.11
-0.57,-0.65,-0.06
-0.69,-0.24,-0.29
-0.63,0.04,-0.29
-0.41,0.47,-0.07
-0.30,0.84,0.00
-0.15,1.28,0.07
0.12,1.60,0.38
0.27,1.53,0.84
0.28,1.50,0.91
0.44,1.73,1.24
0.47,1.58,1.49
0.37,1.27,1.55
0.14,0.92,1.35
0.20,0.65,1.50
0.15,0.52,1.64
-0.02,0.39,1.72
0.04,0.15,1.54
0.15,-0.29,1.44
0.06,-0.73,1.56
-0.00,-0.88,1.73
0.11,-0.74,1.74
-0.01,-0.57,1.57
-0.25,-1.02,1.58
-0.16,-1.03,1.78
-0.20,-0.78,1.68
-0.37,-0.83,1.39
-0.54,-1.00,1.20
-0.57,-0.96,0.99
-0.51,-0.93,0.79
-0.35,-0.80,0.56
-0.33,-0.53,0.31
-0.41,-0.28,0.17
-0.41,-0.44,0.09
-0.31,-0.50,0.05
-0.12,0.05,-0.14
-0.10,0.50,-0.51
0.00,0.40,-0.46
0.03,0.13,-0.08
0.01,0.39,-0.22
0.14,0.57,-0.31
0.29,0.72,0.27
0.27,0.64,0.34
-0.03,0.22,0.17
0.35,0.59,0.93
0.81,1.18,2.00
0.56,0.55,2.33
0.25,-0.36,2.01
0.39,-0.27,1.81
0.50,0.10,1.93
0.44,0.09,1.76
0.34,0.07,1.34
0.17,-0.15,0.68
0.25,-0.26,0.77
0.25,-0.09,0.92
0.21,0.03,0.96
0.19,-0.08,1.06
0.16,-0.13,1.10
0.15,-0.00,1.01
0.13,0.03,0.95
0.15,-0.05,1.01
0.15,-0.04,1.02
0.12,-0.01,0.98
0.15,0.04,1.01
0.19,0.01,1.08
0.16,-0.00,1.03
0.11,-0.01,0.93
0.12,-0.01,0.91
0.18,0.00,0.93
0.17,-0.01,1.03
0.12,-0.05,0.99
0.09,-0.02,0.84
0.11,-0.02,0.84
0.12,-0.02,0.91
0.13,-0.02,0.95
0.13,-0.03,0.89
0.12,-0.03,0.94
0.12,-0.05,1.00
0.14,-0.06,0.98
0.13,-0.04,0.95
0.12,-0.05,0.94
0.15,-0.02,1.01
0.18,-0.00,1.01
0.13,-0.01,0.90
0.11,-0.08,0.93
0.13,-0.04,0.93
0.14,-0.02,0.89
0.14,-0.00,0.90
0.17,-0.03,1.10
0.13,-0.03,0.90
0.15,-0.08,0.91
0.16,-0.00,0.99
0.13,0.00,0.91
0.15,-0.03,0.91
0.16,-0.04,0.95
0.18,-0.02,0.97
0.16,-0.03,0.94
0.15,-0.04,0.93
0.17,-0.01,0.94
0.17,-0.02,0.95
0.18,-0.02,0.97
0.17,-0.02,0.95
0.16,-0.02,0.91
0.18,-0.02,0.93
0.20,-0.03,0.95
0.20,-0.03,0.96
0.18,-0.02,0.94
0.18,-0.04,0.91
0.19,-0.03,0.95
0.20,-0.02,0.95
0.20,-0.03,0.96
0.19,-0.02,0.93
0.19,-0.05,0.95
0.19,-0.04,0.93
0.20,-0.04,0.92
0.21,-0.06,0.93
0.21,-0.04,0.91
0.21,-0.06,0.91
0.22,-0.05,0.95
0.21,-0.05,0.93
0.20,-0.05,0.93
0.20,-0.08,0.94
0.21,-0.06,0.94
0.22,-0.05,0.93
0.21,-0.05,0.92
0.21,-0.05,0.92
0.21,-0.06,0.95
0.21,-0.06,0.94
0.21,-0.04,0.93
0.21,-0.05,0.92
0.21,-0.06,0.93
0.22,-0.05,0.94
0.21,-0.05,0.94
x,y,z
0.76,0.15,0.90
0.92,0.16,1.07
0.96,0.00,1.10
0.97,-0.07,1.06
0.91,-0.21,1.07
0.89,-0.31,1.19
0.84,-0.46,1.25
0.75,-0.51,1.24
0.50,-0.55,1.12
0.27,-0.69,0.90
0.06,-0.74,0.68
-0.27,-0.84,0.47
-0.46,-0.94,0.30
-0.62,-1.08,0.15
-0.71,-0.93,-0.01
-0.75,-0.49,-0.24
-0.70,-0.00,-0.18
-0.44,0.59,0.07
-0.33,0.80,0.08
-0.19,0.95,0.20
0.22,1.75,0.68
0.33,1.71,0.88
0.36,1.12,1.12
0.65,1.18,1.52
0.81,1.77,1.59
0.41,1.20,1.41
0.18,0.29,1.50
0.27,0.06,1.67
0.35,0.38,1.79
0.19,0.06,1.48
0.22,-0.31,1.52
-0.01,-0.66,1.64
0.02,-0.78,1.44
0.15,-0.76,1.52
-0.02,-0.83,1.59
-0.38,-1.27,1.71
-0.44,-1.36,1.61
-0.45,-1.19,1.45
-0.48,-1.12,1.27
-0.57,-1.13,1.07
-0.47,-1.01,0.77
-0.35,-0.95,0.76
-0.30,-0.76,0.58
-0.30,-0.55,0.35
-0.30,-0.42,0.16
-0.20,-0.26,-0.00
-0.19,-0.23,-0.07
-0.21,-0.07,-0.24
-0.06,0.44,-0.41
-0.10,0.42,-0.64
-0.08,0.24,-0.39
-0.08,0.20,-0.13
-0.07,0.22,0.13
0.05,0.53,0.38
0.11,0.53,0.95
0.26,0.47,1.19
0.59,0.63,1.61
0.68,0.62,1.83
0.58,0.16,1.89
0.62,0.20,1.65
0.59,0.34,1.45
0.45,0.38,1.15
0.33,-0.09,1.12
0.27,-0.25,1.20
0.25,-0.04,1.13
0.29,0.16,1.21
0.34,0.12,1.32
0.33,0.11,1.28
0.14,0.03,1.13
0.14,0.01,0.80
0.17,-0.08,0.81
0.22,0.03,0.88
0.20,0.07,0.92
0.18,0.07,0.90
0.18,0.12,0.89
0.16,0.02,1.09
0.10,0.01,0.87
0.18,0.03,0.92
0.21,0.05,0.96
0.17,0.05,0.92
0.16,0.02,0.94
0.20,0.04,0.94
0.21,0.06,0.93
0.19,0.07,0.95
0.19,0.04,0.94
0.23,0.03,0.94
0.21,0.07,0.91
0.20,0.08,0.91
0.21,0.08,0.92
0.21,0.08,0.92
0.22,0.06,0.95
0.21,0.06,0.94
0.20,0.04,0.95
0.19,0.02,0.90
0.19,0.04,0.91
0.23,0.06,0.96
0.23,0.04,0.96
0.21,-0.00,0.89
0.22,0.03,0.88
0.23,0.09,0.90
0.24,0.05,0.95
0.22,0.02,0.94
0.21,0.02,0.93
0.22,0.05,0.92
0.24,0.04,0.94
0.22,0.01,0.94
0.21,0.02,0.92
0.22,0.05,0.91
0.22,0.03,0.93
0.20,0.00,0.95
0.20,0.01,0.92
0.22,0.04,0.93
0.21,0.03,0.93
0.22,0.03,0.94
0.22,0.01,0.93
0.22,0.02,0.92
0.21,0.02,0.93
0.23,0.05,0.92
0.22,0.04,0.92
0.23,0.04,0.93
0.22,0.03,0.93
0.22,0.03,0.93
0.22,0.04,0.92
0.21,0.01,0.93
0.22,0.01,0.94
0.22,0.03,0.93
0.22,0.03,0.93
0.21,0.01,0.94
0.22,0.04,0.93
0.22,0.04,0.92
0.22,0.04,0.94
0.26,0.07,0.95
0.27,0.10,0.91
0.27,0.06,0.92
0.27,0.06,0.95
0.29,0.07,1.00
0.30,0.08,0.99
0.29,0.04,1.01
0.27,0.02,1.00
0.27,0.01,1.00
0.28,0.01,1.00
0.28,0.00,1.00
0.28,-0.01,1.00
0.29,-0.03,1.00
0.29,-0.01,0.99
0.28,-0.03,0.94
0.28,-0.02,0.95
0.30,0.01,0.93
0.30,0.03,0.90
0.32,0.04,0.85
x,y,z
0.78,0.11,1.06
0.84,0.03,1.25
0.83,-0.06,1.33
0.74,-0.21,1.34
0.75,-0.17,1.16
0.76,-0.17,1.09
0.57,-0.34,1.19
0.36,-0.65,1.26
0.25,-0.73,0.97
0.01,-0.71,0.67
-0.10,-0.79,0.53
-0.16,-0.89,0.49
-0.28,-0.89,0.38
-0.40,-0.79,0.18
-0.40,-0.65,0.18
-0.51,-0.25,-0.01
-0.38,0.26,-0.07
-0.17,0.99,0.04
-0.07,1.12,0.04
0.01,1.08,0.15
0.18,1.43,0.50
0.10,1.25,0.70
0.10,1.03,1.09
0.20,0.84,1.43
0.18,0.89,1.40
0.43,0.92,1.51
0.26,0.47,1.82
0.07,0.29,1.79
0.18,0.28,1.58
0.30,0.23,1.51
0.03,-0.13,1.68
-0.08,-0.42,1.70
0.11,-0.50,1.52
0.18,-0.53,1.48
0.01,-0.73,1.48
-0.10,-1.03,1.65
-0.24,-1.07,1.86
-0.34,-1.19,1.87
-0.31,-1.19,1.53
-0.30,-1.08,1.33
-0.51,-0.99,1.20
-0.63,-0.99,1.05
-0.70,-0.91,0.86
-0.74,-0.74,0.58
-0.73,-0.45,0.22
-0.58,0.04,-0.12
-0.40,0.32,-0.45
-0.23,0.28,-0.74
-0.09,0.21,-0.55
0.04,0.25,-0.23
0.03,0.27,-0.10
0.06,0.23,-0.04
0.20,0.34,-0.01
0.29,0.49,0.09
0.51,0.82,0.55
0.53,0.76,0.80
0.42,0.48,0.95
0.51,0.25,1.53
0.38,0.04,1.92
0.33,0.08,1.57
0.45,-0.02,1.46
0.36,-0.14,1.46
0.33,0.08,1.34
0.40,0.15,1.46
0.40,0.19,1.48
0.90,0.06,4.00
0.17,-0.02,0.05
0.00,-0.22,0.82
0.10,-0.09,0.71
0.18,0.15,0.87
0.15,0.12,0.90
0.13,0.09,0.88
0.14,0.12,0.96
0.13,0.10,1.04
0.09,0.02,0.94
0.12,0.02,0.88
0.12,0.02,0.85
0.16,0.08,1.04
0.12,0.03,0.91
0.10,-0.04,0.97
0.09,-0.01,0.92
0.12,0.01,0.95
0.12,0.02,0.95
0.14,0.03,0.96
0.12,0.02,0.94
0.11,0.00,0.93
0.14,-0.00,0.96
0.12,0.00,0.93
0.14,0.03,0.93
0.16,0.05,0.97
0.18,0.06,1.00
0.16,0.02,0.97
0.15,-0.00,0.96
0.15,-0.01,0.99
0.15,-0.02,1.00
0.16,-0.06,1.03
0.15,-0.05,1.01
0.17,0.00,0.93
0.18,0.00,0.90
0.18,-0.05,0.89
0.20,-0.02,0.89
0.21,-0.02,0.91
0.24,-0.01,0.94
0.21,-0.05,0.94
0.24,-0.03,0.93
0.28,0.09,0.89
0.26,0.00,0.86
0.30,0.06,0.87
0.31,0.00,0.87
0.32,0.01,0.90
0.34,0.05,0.88
0.36,0.11,0.84
0.36,0.13,0.83
0.38,0.08,0.90
0.36,0.07,0.90
0.34,0.05,0.86
0.34,0.05,0.84
0.36,0.09,0.84
0.36,0.08,0.85
0.37,0.07,0.89
0.34,0.05,0.90
0.35,0.07,0.93
0.34,0.07,0.94
0.35,0.06,0.93
0.35,0.04,0.89
0.37,0.07,0.86
0.39,0.07,0.80
0.43,0.09,0.80
0.44,0.10,0.82
0.43,0.10,0.81
0.43,0.12,0.82
0.42,0.10,0.86
0.43,0.11,0.87
0.42,0.12,0.87
0.42,0.11,0.87
0.42,0.09,0.88
0.40,0.05,0.84
0.41,0.05,0.85
0.40,0.07,0.85
0.41,0.07,0.87
0.42,0.08,0.89
0.42,0.11,0.88
0.40,0.08,0.88
0.39,0.06,0.89
0.40,0.07,0.91
0.40,0.06,0.91
0.42,0.05,0.88
0.44,0.07,0.85
0.45,0.10,0.81
0.44,0.10,0.80
x,y,z
0.29,-0.10,1.00
0.26,-0.15,0.99
0.20,-0.23,0.96
0.16,-0.26,0.90
0.20,-0.19,0.86
0.24,-0.10,0.80
0.25,-0.04,0.77
0.26,-0.05,0.79
0.32,-0.00,0.83
0.32,0.06,0.82
0.31,0.01,0.85
0.33,0.04,0.85
0.32,0.04,0.89
0.32,0.02,0.92
0.42,-0.01,1.06
0.54,0.13,1.24
0.54,0.08,1.27
0.55,-0.07,1.30
0.53,-0.24,1.46
0.44,-0.47,1.52
0.35,-0.63,1.33
0.43,-0.64,1.17
0.41,-0.55,1.04
0.30,-0.58,1.04
0.17,-0.81,1.10
0.08,-0.76,0.94
0.02,-0.66,0.73
-0.06,-0.50,0.49
-0.29,-0.57,0.28
-0.52,-0.72,0.27
-0.64,-0.60,0.19
-0.61,-0.19,0.05
-0.50,0.32,-0.23
-0.35,0.75,-0.36
0.07,1.26,-0.04
0.36,1.76,0.09
0.31,1.57,0.11
0.30,1.11,0.50
0.33,1.16,0.83
0.31,1.34,1.14
0.34,1.02,1.65
0.29,0.78,1.78
0.08,0.54,1.63
-0.01,0.35,1.59
0.15,0.04,1.51
0.25,0.15,1.40
0.13,0.05,1.50
